,dataset,base,method,PM1,PM2,Time,TriesToOpt
59,ionosphere,001 knn,013 bayesian weighting,0.9318181818181818,0.9318181818181818,117.25189924240112,0
60,iris,001 knn,000 all,0.9736842105263158,0.9736842105263158,0.0,0
61,iris,000 rf,000 all,1.0,1.0,0.0,0
62,iris,001 knn,003 feature importance selection,1.0,1.0,0.137312650680542,0
63,iris,001 knn,011 feature importance weighting,1.0,1.0,0.137312650680542,0
64,iris,001 knn,004 l1,1.0,1.0,0.0036840438842773438,0
65,iris,001 knn,005 relieff selection,1.0,1.0,0.03349184989929199,0
66,iris,001 knn,012 relieff weighting,1.0,1.0,0.03349184989929199,0
67,iris,001 knn,006 forward selection,0.15789473684210525,0.15789473684210525,0.9446189403533936,0
68,iris,001 knn,007 backward selection,1.0,1.0,0.8092846870422363,0
69,iris,001 knn,008 stepwise selection,0.15789473684210525,0.15789473684210525,1.7807626724243164,0
70,iris,001 knn,009 bayesian selection,1.0,1.0,27.890463829040527,0
71,iris,001 knn,013 bayesian weighting,1.0,1.0,70.9337203502655,0
72,sonar,001 knn,000 all,0.6153846153846154,0.6153846153846154,0.0,0
73,sonar,000 rf,000 all,0.8076923076923077,0.8076923076923077,0.0,0
74,sonar,001 knn,003 feature importance selection,0.6346153846153846,0.6346153846153846,0.15212345123291016,0
75,sonar,001 knn,011 feature importance weighting,0.7115384615384616,0.7115384615384616,0.15212345123291016,0
76,sonar,001 knn,004 l1,0.6923076923076923,0.6923076923076923,0.013707399368286133,0
77,sonar,001 knn,005 relieff selection,0.7115384615384616,0.7115384615384616,0.027451515197753906,0
78,sonar,001 knn,012 relieff weighting,0.7307692307692307,0.7307692307692306,0.027451515197753906,0
79,sonar,001 knn,006 forward selection,0.6153846153846154,0.6153846153846154,35.36965560913086,0
80,sonar,001 knn,007 backward selection,0.7307692307692307,0.7307692307692306,21.23507332801819,0
81,sonar,001 knn,008 stepwise selection,0.6730769230769231,0.6730769230769231,14.14162302017212,0
82,sonar,001 knn,009 bayesian selection,0.8269230769230769,0.8269230769230769,57.479238986968994,158
83,sonar,001 knn,013 bayesian weighting,0.9038461538461539,0.9038461538461539,156.0040557384491,340
84,wine,001 knn,000 all,0.9555555555555556,0.9555555555555556,0.0,0
85,wine,000 rf,000 all,0.9555555555555556,0.9555555555555556,0.0,0
86,wine,001 knn,003 feature importance selection,0.8,0.8000000000000002,0.14145588874816895,0
87,wine,001 knn,011 feature importance weighting,0.9555555555555556,0.9555555555555556,0.14145588874816895,0
88,wine,001 knn,004 l1,0.9555555555555556,0.9555555555555556,0.0038831233978271484,0
89,wine,001 knn,005 relieff selection,0.9555555555555556,0.9555555555555556,0.03533649444580078,0
90,wine,001 knn,012 relieff weighting,0.9777777777777777,0.9777777777777777,0.03533649444580078,0
91,wine,001 knn,006 forward selection,0.9777777777777777,0.9777777777777777,7.697373390197754,0
92,wine,001 knn,007 backward selection,0.9555555555555556,0.9555555555555556,2.9624271392822266,0
93,wine,001 knn,008 stepwise selection,0.9111111111111111,0.9111111111111111,4.625521421432495,0
94,wine,001 knn,009 bayesian selection,1.0,1.0,32.54875206947327,12
95,wine,001 knn,013 bayesian weighting,1.0,1.0,84.92237091064453,33
96,car,001 knn,000 all,0.7731481481481481,0.7731481481481481,0.0,0
97,car,000 rf,000 all,0.9699074074074074,0.9699074074074074,0.0,0
98,car,001 knn,003 feature importance selection,0.7430555555555556,0.7430555555555556,0.17267727851867676,0
99,car,001 knn,011 feature importance weighting,0.8125,0.8125,0.17267727851867676,0
100,car,001 knn,004 l1,0.8287037037037037,0.8287037037037037,0.010324239730834961,0
101,car,001 knn,005 relieff selection,0.8032407407407407,0.8032407407407408,0.11861562728881836,0
102,car,001 knn,012 relieff weighting,0.8032407407407407,0.8032407407407408,0.11861562728881836,0
103,car,001 knn,006 forward selection,0.7013888888888888,0.7013888888888888,5.633726358413696,0
104,car,001 knn,007 backward selection,0.8032407407407407,0.8032407407407408,5.853823900222778,0
105,car,001 knn,008 stepwise selection,0.7939814814814815,0.7939814814814815,17.973294496536255,0
106,car,001 knn,009 bayesian selection,0.8564814814814815,0.8564814814814815,40.83816409111023,108
107,car,001 knn,013 bayesian weighting,0.9074074074074074,0.9074074074074074,108.42051815986633,153
