cycle,task,method,instances,features,classes,accuracy,f1,optimization_time,prediction_time,no_features,best_trial
0,11,bayeswweighting,625,4,3,0.8882978723404256,0.6167587476979742,4.085710048675537,0.012390375137329102,4,149
0,14,baseline,2000,76,10,0.75,0.749197253375365,2.384185791015625e-07,0.10049629211425781,76,0
0,14,intercorrelation_filter,2000,76,10,0.75,0.749197253375365,0.08293032646179199,0.08994817733764648,76,0
0,14,correlation_weighting,2000,76,10,0.7866666666666666,0.7828620407309715,0.08293032646179199,0.15126967430114746,76,0
0,14,tree_based_filter,2000,76,10,0.7083333333333334,0.7015732942630952,0.6068689823150635,0.07971835136413574,38,0
0,14,tree_based_weighting,2000,76,10,0.7483333333333333,0.7472525260165528,0.6068689823150635,0.12019467353820801,38,0
0,14,l1filter,2000,76,10,0.7733333333333333,0.7706818937558412,0.05624246597290039,0.07844758033752441,49,0
0,14,relieff,2000,76,10,0.7683333333333333,0.767289707475307,0.2564811706542969,0.07369565963745117,57,0
0,14,relieff_weighting,2000,76,10,0.105,0.019004524886877826,0.2564811706542969,0.11003661155700684,57,0
0,14,forward_selection,2000,76,10,0.8,0.7964099434337788,12.466938972473145,0.030871152877807617,8,0
0,14,backwards_selection,2000,76,10,0.7516666666666667,0.7510139290946063,8.819025754928589,0.08814144134521484,75,0
0,14,stepwise_selection,2000,76,10,0.7516666666666667,0.7482912421386401,24.309171199798584,0.09058022499084473,41,0
0,14,bayesselection,2000,76,10,0.7866666666666666,0.7826318025131725,129.776433467865,0.07849860191345215,36,263
0,14,bayeswweighting,2000,76,10,0.755,0.7508713114478996,387.8748641014099,0.11803388595581055,76,738
0,15,baseline,683,9,2,0.975609756097561,0.9725943156600092,2.384185791015625e-07,0.012859582901000977,9,0
0,15,intercorrelation_filter,683,9,2,0.9804878048780488,0.978154305200341,0.004998922348022461,0.012117147445678711,8,0
0,15,correlation_weighting,683,9,2,0.9804878048780488,0.978154305200341,0.004998922348022461,0.014662027359008789,8,0
0,15,tree_based_filter,683,9,2,0.9853658536585366,0.9836735777429717,0.1070699691772461,0.01241159439086914,5,0
0,15,tree_based_weighting,683,9,2,0.9804878048780488,0.978154305200341,0.1070699691772461,0.013712406158447266,5,0
0,15,l1filter,683,9,2,0.9804878048780488,0.978154305200341,0.0031812191009521484,0.011563777923583984,8,0
0,15,relieff,683,9,2,0.9609756097560975,0.956308610400682,0.02765941619873047,0.012207508087158203,6,0
0,15,relieff_weighting,683,9,2,0.9560975609756097,0.9503030303030304,0.02765941619873047,0.014562845230102539,6,0
0,15,forward_selection,683,9,2,0.9707317073170731,0.9669922713610992,0.34670233726501465,0.01136159896850586,3,0
0,15,backwards_selection,683,9,2,0.975609756097561,0.9725943156600092,0.17602062225341797,0.011968135833740234,8,0
0,15,stepwise_selection,683,9,2,0.975609756097561,0.9725943156600092,0.1715238094329834,0.011591434478759766,5,0
0,15,bayesselection,683,9,2,0.975609756097561,0.9725943156600092,6.009542465209961,0.011806964874267578,8,48
0,15,bayeswweighting,683,9,2,0.9658536585365853,0.9616320419240127,17.237847089767456,0.015094518661499023,9,118
0,16,baseline,2000,64,10,0.915,0.9121143565372589,4.76837158203125e-07,0.08303332328796387,64,0
0,16,intercorrelation_filter,2000,64,10,0.915,0.9121143565372589,0.0646965503692627,0.09874796867370605,64,0
0,16,correlation_weighting,2000,64,10,0.9066666666666666,0.904887149082002,0.0646965503692627,0.13280439376831055,64,0
0,16,tree_based_filter,2000,64,10,0.8633333333333333,0.8615373591249474,0.6010878086090088,0.09647321701049805,32,0
0,16,tree_based_weighting,2000,64,10,0.8416666666666667,0.8401213933321425,0.6010878086090088,0.12143111228942871,32,0
0,16,l1filter,2000,64,10,0.925,0.9233153799824828,0.05108284950256348,0.07739543914794922,58,0
0,16,relieff,2000,64,10,0.9116666666666666,0.9102132041730489,0.22620701789855957,0.09807348251342773,48,0
0,16,relieff_weighting,2000,64,10,0.09833333333333333,0.017905918057663124,0.22620701789855957,0.11745834350585938,48,0
0,16,forward_selection,2000,64,10,0.8916666666666667,0.8893251936472586,10.612988710403442,0.026531219482421875,8,0
0,16,backwards_selection,2000,64,10,0.9083333333333333,0.9060930403017672,7.235781669616699,0.08761191368103027,63,0
0,16,stepwise_selection,2000,64,10,0.895,0.8927862190972871,7.02467942237854,0.08611440658569336,31,0
0,16,bayesselection,2000,64,10,0.9116666666666666,0.9095520257784229,115.77562189102173,0.09555602073669434,35,286
0,16,bayeswweighting,2000,64,10,0.925,0.9231105476062098,336.9672198295593,0.11115193367004395,64,711
0,18,baseline,2000,6,10,0.7066666666666667,0.7011597742682089,4.76837158203125e-07,0.0253143310546875,6,0
0,18,intercorrelation_filter,2000,6,10,0.7033333333333334,0.6956768363783083,0.0042917728424072266,0.02375936508178711,4,0
0,18,correlation_weighting,2000,6,10,0.7033333333333334,0.6955335375445263,0.0042917728424072266,0.026061296463012695,4,0
0,18,tree_based_filter,2000,6,10,0.6716666666666666,0.6622597365385252,0.1922602653503418,0.022225379943847656,3,0
